id;dc_source;dc_title;foi_nrPages;foi_fairiscoreVersions;foi_fairiscore_v2
nl.mnre1045.2e-b.2024.566.doc.1;https://open.overheid.nl/documenten/e2b921cc-918f-4d3e-9f09-bbaf9697e2a8/file;90120734.Beslisnota Kamerbrief Kabinetsreactie IBO Bedrijfsfinanciering;2.0;"{""v1"": 1, ""v2"": 1}";1
nl.mnre1018.2e-b.2024.135.doc.1;https://open.overheid.nl/documenten/93572f72-c1d9-4ebd-9ae2-ef5bd4bee979/file;2024 05 15 Beslisnota aanbieding jaarbericht en jaarverslagen toezichthouders van Defensie 2023;2.0;"{""v1"": 4, ""v2"": 4}";4
nl.mnre1073.2e-b.2024.76.doc.1;https://open.overheid.nl/documenten/e08d2b49-c1be-4c5c-9a8c-a04b1212e07b/file;Openbaarmaken beslisnota OCTAS_Geredigeerd;2.0;"{""v1"": 5, ""v2"": 5}";5
nl.mnre1045.2e-b.2024.523.doc.1;https://open.overheid.nl/documenten/1903028c-cf2e-47ab-873f-e39f11bf5e36/file;89413499.Beslisnota bij Meerjarig Departementaal Informatieplan LVVN 2025-2027;2.0;"{""v1"": 1, ""v2"": 1}";1
nl.mnre1018.2e-b.2024.170.doc.1;https://open.overheid.nl/documenten/2cf57ae1-0434-448f-ade7-491d1f520972/file;2024 09 25 Beslisnota bij Kamerbrief Verslag informele Raad Buitenlandse Zaken Defensie 30 augustus 2024;2.0;"{""v1"": 4, ""v2"": 4}";4
nl.mnre1073.2e-b.2024.33.doc.1;https://open.overheid.nl/documenten/436a3a1f-24c8-4cd4-a4d6-d2b93d9721c6/file;Beslisnota Verslag Informele Raad WSB_Geredigeerd;2.0;"{""v1"": 5, ""v2"": 5}";5
nl.mnre1018.2e-b.2024.75.doc.1;https://open.overheid.nl/documenten/7b57cb0b-1a97-4df8-9742-c03ccde25160/file;2024 06 13 Beslisnota bij Instelling meldpunt burgerslachtoffers;2.0;"{""v1"": 1, ""v2"": 1}";1
nl.mnre1153.2e-b.2024.51.doc.1;https://open.overheid.nl/documenten/b8773b4e-55b8-4ed3-9bf9-dabc32798c4f/file;43351042 Beslisnota Beantwoording Kamervragen over de gevolgen van de korting op het tongquotum;1.0;"{""v1"": 1, ""v2"": 1}";1
nl.mnre1045.2e-b.2024.276.doc.1;https://open.overheid.nl/documenten/127b84dc-6ad4-4301-85c7-8abfe3d2a0e9/file;59123535.Beslisnota bij Kamerbrief verduurzaming elektriciteitsproductie Diemen en warmtenet Amsterdam en Almere;2.0;"{""v1"": 4, ""v2"": 4}";4
nl.mnre1018.2e-b.2024.30.doc.1;https://open.overheid.nl/documenten/3a396199-672d-401b-8220-4f49d2f303e3/file;2024 02 06 Beslisnota bij Kamerbrief antwoorden op de vragen van de leden Paternotte en Podt _beiden D66_ over de uitspraken van de Duitse minister van Defensie;2.0;"{""v1"": 1, ""v2"": 1}";1
nl.mnre1058.2e-b.2024.8.doc.1;https://open.overheid.nl/documenten/dpc-152cea4f1fec1096e8d72509e9fc7f2e59c75990/pdf;tk-beslisnota-bij-aanbiedingsbrief-national-risk-assessments-witwassen-en-terrorismefinanciering-2023;3.0;"{""v1"": 1, ""v2"": 1}";1
nl.mnre1153.2e-b.2024.14.doc.1;https://open.overheid.nl/documenten/69bb4b17-55f3-465c-9b36-e47541abe293/file;44293011.Beslisnota bij Kamerbrief verlenging Vrijstellingsregeling bovengronds aanwenden runderdrijfmest;2.0;"{""v1"": 1, ""v2"": 1}";1
